state_noise,coupling_noise,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.1,0.1,150,4,1.3004674507483838,0.9380889710161028,0.9380889710161028,partial_topology_memory,0.37333333333333335,0.1,0.2733333333333333,0.37333333333333335,0.25333333333333335
0.1,0.2,150,4,1.3473682425351068,0.9719207408783384,0.9719207408783384,partial_topology_memory,0.36,0.16666666666666666,0.22,0.36,0.25333333333333335
0.2,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.2,0.001,150,4,1.3711046381332945,0.9890429309873804,0.9890429309873804,partial_topology_memory,0.2866666666666667,0.18,0.28,0.2866666666666667,0.25333333333333335
0.2,0.005,150,4,1.3558302225964312,0.9780247692136254,0.9780247692136254,partial_topology_memory,0.34,0.18,0.20666666666666667,0.34,0.2733333333333333
0.2,0.01,150,4,1.3439373875986342,0.9694459021769092,0.9694459021769092,topology_only_memory_survived,0.3333333333333333,0.14666666666666667,0.22666666666666666,0.29333333333333333,0.3333333333333333
0.2,0.025,150,4,1.3270121086389364,0.9572368941664999,0.9572368941664999,partial_topology_memory,0.35333333333333333,0.13333333333333333,0.21333333333333335,0.35333333333333333,0.3
0.2,0.05,150,4,1.3533085353765806,0.9762057563902495,0.9762057563902495,partial_topology_memory,0.32666666666666666,0.15333333333333332,0.25333333333333335,0.32666666666666666,0.26666666666666666
0.2,0.1,150,4,1.3493726187889767,0.9733665927191052,0.9733665927191052,partial_topology_memory,0.3466666666666667,0.16,0.22666666666666666,0.3466666666666667,0.26666666666666666
0.2,0.2,150,4,1.366829888696313,0.9859593510804924,0.9859593510804924,partial_topology_memory,0.32,0.18666666666666668,0.26666666666666666,0.32,0.22666666666666666
