state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass
0.005,0.2,0.2000624902374256,150,31,0.20666666666666667,59,0.3933333333333333,28,0.18666666666666668,32,0.21333333333333335,partial_topology_memory,0.3933333333333333,1.335744709403096,0.9635361340747581,0.46888888888888886,0.6,0.21333333333333335,0.58
0.01,0.0,0.01,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.01,0.001,0.01004987562112089,150,44,0.29333333333333333,46,0.30666666666666664,37,0.24666666666666667,23,0.15333333333333332,partial_topology_memory,0.30666666666666664,1.3550207749955316,0.9774408761937867,0.4200000000000001,0.6,0.15333333333333332,0.5533333333333333
0.01,0.005,0.011180339887498949,150,53,0.35333333333333333,48,0.32,25,0.16666666666666666,24,0.16,topology_only_memory_survived,0.35333333333333333,1.3240465774836097,0.9550977156208041,0.3777777777777777,0.6733333333333333,0.16,0.4866666666666667
0.01,0.01,0.01414213562373095,150,49,0.32666666666666666,52,0.3466666666666667,28,0.18666666666666668,21,0.14,partial_topology_memory,0.3466666666666667,1.321298191091239,0.9531151739114442,0.37999999999999995,0.6733333333333333,0.14,0.5333333333333333
0.01,0.025,0.026925824035672525,150,62,0.41333333333333333,48,0.32,26,0.17333333333333334,14,0.09333333333333334,topology_only_memory_survived,0.41333333333333333,1.2549200074326117,0.905233435717685,0.3155555555555556,0.7333333333333334,0.09333333333333334,0.49333333333333335
0.01,0.05,0.050990195135927854,150,43,0.2866666666666667,58,0.38666666666666666,33,0.22,16,0.10666666666666667,partial_topology_memory,0.38666666666666666,1.2974121696246166,0.9358850515532126,0.38222222222222224,0.6733333333333333,0.10666666666666667,0.6066666666666667
0.01,0.1,0.1004987562112089,150,32,0.21333333333333335,57,0.38,41,0.2733333333333333,20,0.13333333333333333,partial_topology_memory,0.38,1.320444818348809,0.9524995955996773,0.44222222222222224,0.5933333333333334,0.13333333333333333,0.6533333333333333
0.01,0.2,0.2002498439450079,150,30,0.2,62,0.41333333333333333,30,0.2,28,0.18666666666666668,partial_topology_memory,0.41333333333333333,1.3222626203800512,0.953810862587573,0.4577777777777778,0.6133333333333333,0.18666666666666668,0.6133333333333333
0.025,0.0,0.025,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
